Event Title,Event Body,Event Date,Event Start Time,Event End Time,Header Skin,Header Sub Title,Listing Option Address,Listing Visibility Duration,Listing Featured,Listing Email,Listing Mobile,Listing Website URL,Facebook,Twitter,Instagram,Youtube,Related Posts,Listing Button Text,Listing Button URL,Background Image,Location,Latitude,Longitude,Calendar Tags,Categories,Featured Image,Gallery Image,Min Height Hero Image,Disable Hero Image,Region,Alt Tag,Start Time format,End Time format,Qualification,event_custom_id
Wyke Sixth Form College,"Experience an open day at Wyke Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-25,1532453400,1532462400,transparent,Open Evening,Bricknell Avenue  Hull HU5 4NT,364,off,office@wyke.ac.uk,+44 1482 346347,http://www.wyke.ac.uk,,,,,on,25 Oct - Booking Info,https://wyke.ac.uk/event/open-evening-4/,3044,Kingston upon Hull,53.7660243,-0.3867977,October,Sixth Form College,university203.jpg,,200,off,Yorkshire and Humberside,Wyke Sixth Form College - Open Evening,2018-10-25 17:30:00:00.000000,2018-10-25 20:00:00:00.000000,A Levels,34
Wyke Sixth Form College,"Experience an open day at Wyke Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-08,1532453400,1532462400,transparent,Open Evening,Bricknell Avenue  Hull HU5 4NT,364,off,office@wyke.ac.uk,+44 1482 346347,http://www.wyke.ac.uk,,,,,on,8 Nov - Booking Info,https://wyke.ac.uk/event/open-evening-5/,3045,Kingston upon Hull,53.7660243,-0.3867977,November,Sixth Form College,university204.jpg,,200,off,Yorkshire and Humberside,Wyke Sixth Form College - Open Evening,2018-11-08 17:30:00:00.000000,2018-11-08 20:00:00:00.000000,A Levels,35
Notre Dame Catholic Sixth Form College,"Experience an open day at Notre Dame Catholic Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-13,1532424600,1532437200,transparent,Open Evening ,St Mark's Avenue  Leeds LS2 9BL,364,off,enquiries@notredamecoll.ac.uk,+44 113 2946644,http://www.notredamecoll.ac.uk,,,,,on,13 Oct - Booking Info,http://www.notredamecoll.ac.uk/index.php/event/open-day/,3046,Leeds,53.8107169,-1.5533277,October,Sixth Form College,university205.jpg,,200,off,Yorkshire and Humberside,Notre Dame Catholic Sixth Form College - Open Evening ,2018-10-13 9:30:00:00.000000,2018-10-13 13:00:00:00.000000,A Levels,36
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-08-30,1532451600,1532458800,transparent,open evening - adult education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,30 Aug - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3047,Manchester,53.4924736,-2.0750169,August,Sixth Form College,university206.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - open evening - adult education,2018-08-30 17:00:00:00.000000,2018-08-30 19:00:00:00.000000,A Levels,37
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-05,1532451600,1532458800,transparent,open evening - adult education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,5 Sep - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3048,Manchester,53.4924736,-2.0750169,September,Sixth Form College,university207.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - open evening - adult education,2018-09-05 17:00:00:00.000000,2018-09-05 19:00:00:00.000000,A Levels,38
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-06,1532451600,1532458800,transparent,open evening - adult education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,6 Sep - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3049,Manchester,53.4924736,-2.0750169,September,Sixth Form College,university208.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - open evening - adult education,2018-09-06 17:00:00:00.000000,2018-09-06 19:00:00:00.000000,A Levels,39
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-08-30,1532451600,1532458800,transparent,Open Evening - Higher Education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,30 Aug - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3050,Manchester,53.4924736,-2.0750169,August,Sixth Form College,university209.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - Open Evening - Higher Education,2018-08-30 17:00:00:00.000000,2018-08-30 19:00:00:00.000000,A Levels,40
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-05,1532451600,1532458800,transparent,Open Evening - Higher Education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,5 Sep - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3051,Manchester,53.4924736,-2.0750169,September,Sixth Form College,university2010.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - Open Evening - Higher Education,2018-09-05 17:00:00:00.000000,2018-09-05 19:00:00:00.000000,A Levels,41
Ashton-under-Lyne Sixth Form College,"Experience an open day at Ashton-under-Lyne Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-06,1532451600,1532458800,transparent,Open Evening - Higher Education,Darnton Road  Ashton-under-Lyne OL6 9RL,364,off,contact@asfc.ac.uk,+44 161 330 2330,http://www.asfc.ac.uk,,,,,on,6 Sep - Booking Info,https://www.asfc.ac.uk/he-and-adult/events,3052,Manchester,53.4924736,-2.0750169,September,Sixth Form College,university2011.jpg,,200,off,North West England,Ashton-under-Lyne Sixth Form College - Open Evening - Higher Education,2018-09-06 17:00:00:00.000000,2018-09-06 19:00:00:00.000000,A Levels,42
Loreto Sixth Form College,"Experience an open day at Loreto Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-06,1532426400,1532437200,transparent,Open Day,Chichester Road  Hulme M15 5PB,364,off,enquiries@loreto.ac.uk,+44 161 226 5156,http://www.loreto.ac.uk,,,,,on,6 Oct - Booking Info,http://www.loreto.ac.uk/about-us/calendar/,3055,Manchester,53.4612817,-2.252089,October,Sixth Form College,university2014.jpg,,200,off,North West England,Loreto Sixth Form College - Open Day,2018-10-06 10:00:00:00.000000,2018-10-06 13:00:00:00.000000,A Levels,43
Loreto Sixth Form College,"Experience an open day at Loreto Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-14,1532426400,1532437200,transparent,Open Day,Chichester Road  Hulme M15 5PB,364,off,enquiries@loreto.ac.uk,+44 161 226 5156,http://www.loreto.ac.uk,,,,,on,14 Oct - Booking Info,http://www.loreto.ac.uk/about-us/calendar/,3056,Manchester,53.4612817,-2.252089,October,Sixth Form College,university2015.jpg,,200,off,North West England,Loreto Sixth Form College - Open Day,2018-10-14 10:00:00:00.000000,2018-10-14 13:00:00:00.000000,A Levels,44
Newham Sixth Form College,"Experience an open day at Newham Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-01-27,1532424600,1532435400,transparent,Open Day,Prince Regent Lane  Plaistow E13 8SG,364,off,info@newvic.ac.uk,+44 20 7473 4110,http://www.newvic.ac.uk,,,,,on,27 Jan - Booking Info,https://www.newvic.ac.uk/page/?title=Open+Days&pid=2221,3058,London,51.5213021,0.0317459,January,Sixth Form College,university2017.jpg,,200,off,London,Newham Sixth Form College - Open Day,2019-01-27 9:30:00:00.000000,2019-01-27 12:30:00:00.000000,A Levels,45
East Norfolk Sixth Form College,"Experience an open day at East Norfolk Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-30,1532426400,1532437200,transparent,Open Morning,Church Lane  Gorleston NR31 7BQ,364,off,info@eastnorfolk.ac.uk,+44 1493 662234,https://www.eastnorfolk.ac.uk,,,,,on,30 Sep - Booking Info,https://www.eastnorfolk.ac.uk/Students--Parents/Key-Dates,3059,Norfolk,52.5788896,1.7194701,September,Sixth Form College,university2018.jpg,,200,off,Eastern England,East Norfolk Sixth Form College - Open Morning,2018-09-30 10:00:00:00.000000,2018-09-30 13:00:00:00.000000,A Levels,46
East Norfolk Sixth Form College,"Experience an open day at East Norfolk Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-05,1532448000,1532462400,transparent,Open Evening,Church Lane  Gorleston NR31 7BQ,364,off,info@eastnorfolk.ac.uk,+44 1493 662234,https://www.eastnorfolk.ac.uk,,,,,on,5 Oct - Booking Info,https://www.eastnorfolk.ac.uk/Students--Parents/Key-Dates,3060,Norfolk,52.5788896,1.7194701,October,Sixth Form College,university2019.jpg,,200,off,Eastern England,East Norfolk Sixth Form College - Open Evening,2018-10-05 16:00:00:00.000000,2018-10-05 20:00:00:00.000000,A Levels,47
Sir Isaac Newton Sixth Form,"Experience an open day at Sir Isaac Newton Sixth Form, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2018-09-24,1532390400,1532476740,transparent,Open Evening - Year 7's,The Old Fire Station 30 Bethel Street Norwich NR2 1NR,364,off,sirisaac@inspirationtrust.org,+44 1603 280940,http://www.inspirationtrust.org/sirisaacnewtonsixthform,,,,,on,24 Sep - Booking Info,http://www.inspirationtrust.org/sirisaacnewtonsixthform,3061,Norfolk,52.6283223,1.2901962,September,Sixth Form College,university2020.jpg,,200,off,Eastern England,Sir Isaac Newton Sixth Form - Open Evening - Year 7's,2018-09-24 0:00:00:00.000000,2018-09-24 23:59:00:00.000000,A Levels,48
Lowestoft Sixth Form College,"Experience an open day at Lowestoft Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!      *Note we are unable to confirm start time or finish time of this listing.",2019-03-23,1532390400,1532476740,transparent,Open evening,Rotterdam Road  Lowestoft NR32 2PJ,364,off,info@l6fc.org,+44 1502 537000,http://www.lowestoftsfc.ac.uk,,,,,on,23 Mar - Booking Info,https://www.lowestoftsfc.ac.uk/student-life/key-dates/,3062,Suffolk,52.480703,1.7402332,March,Sixth Form College,university2021.jpg,,200,off,Eastern England,Lowestoft Sixth Form College - Open evening,2019-03-23 0:00:00:00.000000,2019-03-23 23:59:00:00.000000,A Levels,49
Suffolk One,"Experience an open day at Suffolk One, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-13,1532424600,1532435400,transparent,Open Evening,Scrivener Drive Pinewood Ipswich IP8 3SU,364,off,admissions@suffolkone.ac.uk,+44 1473 556600,http://www.suffolkone.ac.uk,,,,,on,13 Oct - Booking Info,https://www.suffolkone.ac.uk/information/open-events-2018-19/,3063,Suffolk,52.0439604,1.1065383,October,Sixth Form College,university1.jpg,,200,off,Eastern England,Suffolk One - Open Evening,2018-10-13 9:30:00:00.000000,2018-10-13 12:30:00:00.000000,A Levels,50
Suffolk One,"Experience an open day at Suffolk One, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-18,1532451600,1532462400,transparent,Open Evening,Scrivener Drive Pinewood Ipswich IP8 3SU,364,off,admissions@suffolkone.ac.uk,+44 1473 556600,http://www.suffolkone.ac.uk,,,,,on,18 Oct - Booking Info,https://www.suffolkone.ac.uk/information/open-events-2018-19/,3064,Suffolk,52.0439604,1.1065383,October,Sixth Form College,university2.jpg,,200,off,Eastern England,Suffolk One - Open Evening,2018-10-18 17:00:00:00.000000,2018-10-18 20:00:00:00.000000,A Levels,51
Suffolk One,"Experience an open day at Suffolk One, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-22,1532451600,1532458800,transparent,Open Evening,Scrivener Drive Pinewood Ipswich IP8 3SU,364,off,admissions@suffolkone.ac.uk,+44 1473 556600,http://www.suffolkone.ac.uk,,,,,on,22 Nov - Booking Info,https://www.suffolkone.ac.uk/information/open-events-2018-19/,3065,Suffolk,52.0439604,1.1065383,November,Sixth Form College,university3.jpg,,200,off,Eastern England,Suffolk One - Open Evening,2018-11-22 17:00:00:00.000000,2018-11-22 19:00:00:00.000000,A Levels,52
Suffolk One,"Experience an open day at Suffolk One, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-02-12,1532455200,1532462400,transparent,Open Evening,Scrivener Drive Pinewood Ipswich IP8 3SU,364,off,admissions@suffolkone.ac.uk,+44 1473 556600,http://www.suffolkone.ac.uk,,,,,on,12 Feb - Booking Info,https://www.suffolkone.ac.uk/information/open-events-2018-19/,3066,Suffolk,52.0439604,1.1065383,February,Sixth Form College,university4.jpg,,200,off,Eastern England,Suffolk One - Open Evening,2019-02-12 18:00:00:00.000000,2019-02-12 20:00:00:00.000000,A Levels,53
Farnham Sixth Form College,"Experience an open day at Farnham Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-04,1532453400,1532462400,transparent,Open Evening,Morley Road  Farnham GU9 8LU,364,off,farnham@guildford.ac.uk,+44 1252 716988,http://www.farnham.ac.uk,,,,,on,4 Oct - Booking Info,http://www.farnham.ac.uk/WhyChooseUs/OpenEvents.aspx,3067,Surrey,51.2078098,-0.7924643,October,Sixth Form College,university5.jpg,,200,off,South East England,Farnham Sixth Form College - Open Evening,2018-10-04 17:30:00:00.000000,2018-10-04 20:00:00:00.000000,A Levels,54
Farnham Sixth Form College,"Experience an open day at Farnham Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-06,1532426400,1532437200,transparent,Open Evening,Morley Road  Farnham GU9 8LU,364,off,farnham@guildford.ac.uk,+44 1252 716988,http://www.farnham.ac.uk,,,,,on,6 Oct - Booking Info,http://www.farnham.ac.uk/WhyChooseUs/OpenEvents.aspx,3068,Surrey,51.2078098,-0.7924643,October,Sixth Form College,university6.jpg,,200,off,South East England,Farnham Sixth Form College - Open Evening,2018-10-06 10:00:00:00.000000,2018-10-06 13:00:00:00.000000,A Levels,55
Farnham Sixth Form College,"Experience an open day at Farnham Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-02-02,1532426400,1532437200,transparent,Open Evening,Morley Road  Farnham GU9 8LU,364,off,farnham@guildford.ac.uk,+44 1252 716988,http://www.farnham.ac.uk,,,,,on,2 Feb - Booking Info,http://www.farnham.ac.uk/WhyChooseUs/OpenEvents.aspx,3069,Surrey,51.2078098,-0.7924643,February,Sixth Form College,university7.jpg,,200,off,South East England,Farnham Sixth Form College - Open Evening,2019-02-02 10:00:00:00.000000,2019-02-02 13:00:00:00.000000,A Levels,56
Farnham Sixth Form College,"Experience an open day at Farnham Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-06-20,1532453400,1532462400,transparent,Open Evening,Morley Road  Farnham GU9 8LU,364,off,farnham@guildford.ac.uk,+44 1252 716988,http://www.farnham.ac.uk,,,,,on,20 Jun - Booking Info,http://www.farnham.ac.uk/WhyChooseUs/OpenEvents.aspx,3070,Surrey,51.2078098,-0.7924643,June,Sixth Form College,university8.jpg,,200,off,South East England,Farnham Sixth Form College - Open Evening,2019-06-20 17:30:00:00.000000,2019-06-20 20:00:00:00.000000,A Levels,57
Big Creative Academy,"Experience an open day at Big Creative Academy, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-17,1532449800,1532462400,transparent,Open evening,Silver Birch House Blackhorse Lane Walthamstow E17 5QJ,364,off,recruitment@bigcreative.education,+44 20 8498 3300,http://www.bigcreative.education,,,,,on,17 Oct - Booking Info,http://www.bigcreative.education/open-evenings/,3071,London,51.5936468,-0.0429363,October,Sixth Form College,university9.jpg,,200,off,London,Big Creative Academy - Open evening,2018-10-17 16:30:00:00.000000,2018-10-17 20:00:00:00.000000,A Levels,58
Big Creative Academy,"Experience an open day at Big Creative Academy, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-14,1532449800,1532462400,transparent,Open evening,Silver Birch House Blackhorse Lane Walthamstow E17 5QJ,364,off,recruitment@bigcreative.education,+44 20 8498 3300,http://www.bigcreative.education,,,,,on,14 Nov - Booking Info,http://www.bigcreative.education/open-evenings/,3072,London,51.5936468,-0.0429363,November,Sixth Form College,university10.jpg,,200,off,London,Big Creative Academy - Open evening,2018-11-14 16:30:00:00.000000,2018-11-14 20:00:00:00.000000,A Levels,59
Big Creative Academy,"Experience an open day at Big Creative Academy, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-12-12,1532449800,1532462400,transparent,Open evening,Silver Birch House Blackhorse Lane Walthamstow E17 5QJ,364,off,recruitment@bigcreative.education,+44 20 8498 3300,http://www.bigcreative.education,,,,,on,12 Dec - Booking Info,http://www.bigcreative.education/open-evenings/,3073,London,51.5936468,-0.0429363,December,Sixth Form College,university11.jpg,,200,off,London,Big Creative Academy - Open evening,2018-12-12 16:30:00:00.000000,2018-12-12 20:00:00:00.000000,A Levels,60
Big Creative Academy,"Experience an open day at Big Creative Academy, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-01-16,1532449800,1532462400,transparent,Open evening,Silver Birch House Blackhorse Lane Walthamstow E17 5QJ,364,off,recruitment@bigcreative.education,+44 20 8498 3300,http://www.bigcreative.education,,,,,on,16 Jan - Booking Info,http://www.bigcreative.education/open-evenings/,3074,London,51.5936468,-0.0429363,January,Sixth Form College,university12.jpg,,200,off,London,Big Creative Academy - Open evening,2019-01-16 16:30:00:00.000000,2019-01-16 20:00:00:00.000000,A Levels,61
Big Creative Academy,"Experience an open day at Big Creative Academy, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2019-02-13,1532449800,1532462400,transparent,Open evening,Silver Birch House Blackhorse Lane Walthamstow E17 5QJ,364,off,recruitment@bigcreative.education,+44 20 8498 3300,http://www.bigcreative.education,,,,,on,13 Feb - Booking Info,http://www.bigcreative.education/open-evenings/,3075,London,51.5936468,-0.0429363,February,Sixth Form College,university13.jpg,,200,off,London,Big Creative Academy - Open evening,2019-02-13 16:30:00:00.000000,2019-02-13 20:00:00:00.000000,A Levels,62
Leyton Sixth Form College,"Experience an open day at Leyton Sixth Form College, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-11-10,1532426400,1532437200,transparent,Open  Day,Essex Road  Leyton E10 6EQ,364,off,enquiry@leyton.ac.uk,+44 20 8928 9000,http://www.leyton.ac.uk,,,,,on,10 Nov - Booking Info,http://www.leyton.ac.uk/why-choose-us/college-open-days.html,3076,London,51.5759534,-0.003353,November,Sixth Form College,university14.jpg,,200,off,London,Leyton Sixth Form College - Open  Day,2018-11-10 10:00:00:00.000000,2018-11-10 13:00:00:00.000000,A Levels,63
Chichester High Schools Sixth Form,"Experience an open day at Chichester High Schools Sixth Form, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-27,1532453400,1532462400,transparent,Open Evening,Kingsham Road  Chichester PO19 8AE,364,off,sixthform@chs-tkat.org,+44 1243 832545,http://www.chs-tkat.org,,,,,on,27 Sep - Booking Info,http://www.chs-tkat.org/1041/open-evening-and-mornings-2018,3077,West Sussex,50.8312643,-0.7765953,September,Sixth Form College,university15.jpg,,200,off,South East England,Chichester High Schools Sixth Form - Open Evening,2018-09-27 17:30:00:00.000000,2018-09-27 20:00:00:00.000000,A Levels,64
Chichester High Schools Sixth Form,"Experience an open day at Chichester High Schools Sixth Form, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-04,1532424600,1532431200,transparent,Open Morning,Kingsham Road  Chichester PO19 8AE,364,off,sixthform@chs-tkat.org,+44 1243 832545,http://www.chs-tkat.org,,,,,on,4 Oct - Booking Info,http://www.chs-tkat.org/1041/open-evening-and-mornings-2018,3078,West Sussex,50.8312643,-0.7765953,October,Sixth Form College,university16.jpg,,200,off,South East England,Chichester High Schools Sixth Form - Open Morning,2018-10-04 9:30:00:00.000000,2018-10-04 11:20:00:00.000000,A Levels,65
Chichester High Schools Sixth Form,"Experience an open day at Chichester High Schools Sixth Form, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-10-09,1532424600,1532431200,transparent,Open Morning,Kingsham Road  Chichester PO19 8AE,364,off,sixthform@chs-tkat.org,+44 1243 832545,http://www.chs-tkat.org,,,,,on,9 Oct - Booking Info,http://www.chs-tkat.org/1041/open-evening-and-mornings-2018,3079,West Sussex,50.8312643,-0.7765953,October,Sixth Form College,university17.jpg,,200,off,South East England,Chichester High Schools Sixth Form - Open Morning,2018-10-09 9:30:00:00.000000,2018-10-09 11:20:00:00.000000,A Levels,66
Harris Westminster Sixth Form,"Experience an open day at Harris Westminster Sixth Form, where they throw open their doors and welcome everyone to experience a day in the life on their campus/grounds. Generally, you can experience first hand whether this is the right fit for you. Take the time to plan your day and agenda. Open days can have a huge impact on your final decision and should not be missed. Please dont forget to come back and 'rate and review' your excperience right here on Odays!",2018-09-25,1532390400,1532476740,transparent,Open Evening,Steel House 11 Tothill Street Westminister SW1H 9LH,364,off,enquiries@harriswestminstersixthform.org.uk,+44 20 3772 4555,http://www.harriswestminstersixthform.org.uk,,,,,on,25 Sep - Booking Info,https://www.harriswestminstersixthform.org.uk/92/open-evenings,3080,London,51.4996109,-0.1310529,September,Sixth Form College,university18.jpg,,200,off,London,Harris Westminster Sixth Form - Open Evening,2018-09-25 0:00:00:00.000000,2018-09-25 23:59:00:00.000000,A Levels,67
